,embedding_x,embedding_y
0,-0.2385983,17.636658
1,0.58136576,20.369125
2,-0.1434662,17.840942
3,21.200571,-1.1201735
4,11.757377,-9.199008
5,1.2771848,20.080305
6,-0.6695598,15.487726
7,-9.845931,10.025589
8,-0.32681522,17.580734
9,1.9840921,-4.7318673
10,-9.072026,-6.6985264
11,20.767717,-2.6392949
12,-0.37608767,14.59785
13,12.461137,-3.9471862
14,-0.050071698,17.933975
15,-0.40910947,14.634473
16,18.230778,6.3163652
17,20.893988,-2.3008134
18,20.263277,4.5896964
19,-0.73820865,15.022797
20,-0.68665147,15.2481
21,15.971874,25.694319
22,0.44565699,18.424217
23,-0.9048265,8.0679245
24,-0.70237935,15.430474
25,20.012636,4.1497836
26,-1.4904566,0.21319549
27,12.192998,-5.6898017
28,1.2779524,10.46647
29,5.378873,2.5277035
30,-2.4991827,14.499897
31,0.3816574,9.960373
32,11.499411,-5.8843303
33,-4.900582,-7.549678
34,21.081686,-0.6387511
35,-0.88376975,8.092329
36,-0.43258196,14.655452
37,0.3061597,10.218588
38,-1.0981625,15.219072
39,-1.0368552,1.8304539
40,-0.92148197,8.050764
41,0.2411571,21.470444
42,-3.8338485,15.215631
43,12.665122,-4.2509594
44,12.102588,-6.4959254
45,12.2008295,-6.417068
46,4.467418,-0.8568084
47,-0.41529626,14.642811
48,0.29591084,10.2238865
49,0.3875631,9.852423
50,12.346035,-5.8913317
51,-7.583652,9.9911995
52,-5.9233055,-0.7986275
53,7.0472364,24.20922
54,6.37243,14.671161
55,19.402704,4.375362
56,-9.388913,-0.9322075
57,0.09168786,2.9748905
58,7.0411963,24.202557
59,12.398658,-3.827156
60,19.272568,5.5782585
61,2.0082994,-4.719308
62,13.658685,-12.467052
63,18.045372,6.478269
64,-11.349043,7.150426
65,12.646407,0.8741998
66,-0.42489392,14.651836
67,0.76863897,10.978248
68,-0.4617683,14.706173
69,-3.4071343,14.389847
70,-0.7126976,15.441201
71,-2.347601,15.335347
72,21.98889,11.379489
73,19.243198,5.7277117
74,21.997519,11.39101
75,13.553571,-12.572367
76,0.7168993,20.500753
77,-0.72457576,15.037113
78,-3.159371,16.151583
79,12.183438,-6.6006913
80,21.946947,11.3665495
81,0.34701437,18.321253
82,19.239006,5.645279
83,5.3047028,1.389215
84,11.935086,-3.538916
85,-3.6783352,20.962902
86,-12.868963,9.261378
87,12.212489,-5.72738
88,7.0523334,24.21401
89,0.69038594,18.488539
90,-1.4465961,0.12528881
91,21.042427,-0.6063669
92,-1.3182974,7.626511
93,12.194337,16.93337
94,1.5358475,20.312017
95,-4.874808,-7.5630283
96,-0.51034945,14.750057
97,-2.408882,14.539854
98,12.309808,-5.7596183
99,1.5862912,11.206063
100,-3.2109075,20.54801
101,21.343431,11.326144
102,12.676684,0.8456246
103,-0.09926629,19.991934
104,7.100731,24.259705
105,-10.287145,9.969884
106,1.1345807,21.24633
107,-3.4126241,20.506544
108,12.659715,16.64203
109,19.818497,3.9614074
110,-3.3605328,15.272171
111,12.683696,16.659784
112,-9.432457,-0.97034204
113,20.356215,4.82519
114,-12.942616,9.377915
115,-0.20333356,17.734947
116,-0.9194845,8.0510025
